Cellulose (w/w),Hemicellulose (w/w),Lignin (w/w),Residual (w/w),Biomethane Potential (I CH4/Kg VS)
0.468,0.3,0.096,0.136,229
0.361,0.21,0.15,0.279,165
0.341,0.17,0.283,0.206,101
0.263,0.183,0.142,0.412,269
0.196,0.187,0.372,0.245,96
0.379,0.273,0.096,0.252,322
0.33,0.316,0.054,0.3,349
0.331,0.184,0.246,0.239,228
0.209,0.177,0.254,0.36,178
0.235,0.159,0.233,0.373,98
0.204,0.06,0.154,0.582,275
0.253,0.102,0.139,0.506,200
0.55,0.108,0.072,0.27,326
0.539,0.106,0.087,0.268,310
0.183,0.121,0.119,0.577,276
0.361,0.348,0.18,0.111,339
0.298,0.346,0.192,0.164,228
0.396,0.195,0.079,0.33,363
0.224,0.269,0.061,0.446,311
0.266,0.287,0.075,0.372,319
0.318,0.284,0.071,0.327,288
0.309,0.286,0.204,0.201,257
0.384,0.219,0.17,0.227,333
0.271,0.212,0.232,0.285,206
0.301,0.19,0.103,0.406,360
0.42,0.301,0.07,0.209,349
0.36,0.187,0.105,0.348,288
0.335,0.23,0.238,0.197,189
0.291,0.26,0.057,0.392,271
0.225,0.202,0.183,0.39,207
0.463,0.138,0.124,0.275,275
0.339,0.204,0.113,0.344,327
0.262,0.188,0.27,0.28,217
0.334,0.282,0.074,0.31,360
0.5,0.182,0.107,0.211,417
0.365,0.24,0.177,0.218,220
0.408,0.246,0.193,0.153,297
0.34,0.299,0.097,0.264,358
0.309,0.232,0.055,0.404,232
0.222,0.194,0.214,0.37,250
0.296,0.199,0.045,0.46,302
0.292,0.223,0.045,0.44,282
0.183,0.217,0.207,0.393,280
0.363,0.199,0.053,0.385,320
0.334,0.193,0.053,0.42,280
0.291,0.261,0.225,0.223,236
0.201,0.209,0.185,0.405,314
0.197,0.2,0.198,0.405,307
0.181,0.185,0.213,0.421,289
0.31,0.156,0.292,0.242,185
0.312,0.143,0.277,0.268,190
0.312,0.143,0.3,0.245,183
0.274,0.135,0.35,0.241,161
0.293,0.164,0.214,0.329,191
0.336,0.219,0.186,0.259,236
0.364,0.225,0.193,0.218,236
0.48,0.284,0.064,0.172,290
0.49,0.34,0.065,0.105,208
0.337,0.186,0.174,0.303,302
0.35,0.182,0.172,0.296,333
0.36,0.229,0.06,0.351,306
0.337,0.229,0.101,0.333,214
0.224,0.12,0.225,0.431,172
0.39,0.149,0.273,0.188,291
